protein_id,gene,n_in,n_out,mean_in,mean_out,log2FC,p_value,adj_p,tissue
P19246,Nefh,73,74,5.1395734150134595,4.743636272666779,1.3152747169708536,1.587150981580886e-6,1.4443073932386062e-4,BrainStem
A0AAQ4VMY7,Dpysl2,7,11,5.369211667157123,4.868613212629856,1.6629520703513234,0.10545342319121584,0.8723874100364221,BrainStem
A0A0G2JDN7,Map4,4,8,4.956245810582139,4.536283492961463,1.3950846216981347,0.06418891211989795,0.8723874100364221,BrainStem
Q99P72,Rtn4,8,13,5.20631019277228,4.857756922783117,1.1578689001418618,0.043545628469358805,0.8723874100364221,BrainStem
Q9QWI6,Srcin1,6,12,4.904147450299726,4.567792070835845,1.1173483849075687,0.10095059218780009,0.8723874100364221,BrainStem
Q8BUV3,Gphn,3,3,4.427764517047465,4.1850729968330915,0.8062037793910517,0.3945748352417174,0.9758693757573915,BrainStem
P43276,H1-5,3,4,5.58877246293302,4.632114129328906,3.1779501956076333,0.012352819640308725,0.534751886260714,Cerebellum
Q8C8R3,Ank2,22,29,4.823464230065176,4.497957501970404,1.0813099451328843,0.006080324268075393,0.534751886260714,Cerebellum
P97445,Cacna1a,6,4,4.854167376050545,4.532492545205377,1.068580658002702,0.020096375397486647,0.534751886260714,Cerebellum
Q9QYX7,Pclo,13,15,4.81587407417475,4.527219249338017,0.9588905723499348,0.02366158788764221,0.534751886260714,Cerebellum
Q8BTI8,Srrm2,19,18,4.796954307032771,4.565689433468044,0.7682452808552421,0.020494446200519316,0.534751886260714,Cerebellum
Q148V7,Relch,3,3,4.81824487743376,4.557045458118298,0.8676856893922975,0.029282424022145013,0.5514856524170644,Cerebellum
P16858,Gapdh,4,3,4.677479361763271,4.1609801287984585,1.715773312973583,0.21639506962503874,0.9960621356510275,Cerebrum
Q811P8,Arhgap32,5,4,4.959662734508253,4.562806947408938,1.318326388783852,0.07308924115415404,0.9960621356510275,Cerebrum
P13595,Ncam1,6,10,5.3275515991900955,4.949971690065728,1.254293308185254,0.23050670736145049,0.9960621356510275,Cerebrum
Q8VD37,Sgip1,4,13,5.164945701634418,4.843276185792654,1.068563001943571,0.36923676297358504,0.9960621356510275,Cerebrum
A0A571BDG0,Srcin1,7,3,4.830403125109156,4.513575551996118,1.0524784163591834,0.4787480265732177,0.9960621356510275,Cerebrum
P35802,Gpm6a,4,4,5.00696733709613,4.6966351854511466,1.030901093296316,0.28120646168095376,0.9960621356510275,Cerebrum
