protein_id,gene,n_in,n_out,mean_in,mean_out,log2FC,p_value,adj_p,tissue
Q9QXS1,Plec,68,22,5.073510468535136,4.329927142451544,2.4701303418068727,1.280907426100859e-9,2.909794702959118e-6,BrainStem
S4R1C4,Atp2b2,36,27,5.189229998094203,4.613574409560202,1.9122864725300184,1.272758515641799e-5,0.010842311605123575,BrainStem
E9Q3A0,Trim36,27,15,4.583436359830377,4.113932803349643,1.5596570549228856,2.369412590495764e-5,0.01614754680422863,BrainStem
P19246,Nefh,115,103,5.204303015206156,4.8714850659653335,1.1055972960658838,2.1889335255765616e-5,0.01614754680422863,BrainStem
Q9Z280,Pld1,14,16,4.872446596550101,4.478957373809088,1.307142904058762,8.191822641078931e-5,0.04652272608246076,BrainStem
A0A1L1SV25,Actn4,15,13,5.140063253053894,4.333328922306817,2.679913438418867,1.1662022836997617e-4,0.05676906116724197,BrainStem
Q80TT2,Baiap3,16,14,4.8607553831949435,4.477055118085099,1.2746246906841214,2.0543336410967788e-4,0.08235461037690911,BrainStem
Q9JLC8,Sacs,142,130,4.7405442288500055,4.594935366372864,0.4837021711274064,2.6368440750026533e-4,0.09983384650635045,BrainStem
Q6PGH2,Jpt2,9,8,4.8468937366994895,4.4229231558753455,1.4083997838454374,0.001959272416442809,0.4604290178640601,BrainStem
P23819,Gria2,25,12,4.946927404418685,4.4371705892643565,1.6933754858214671,0.002252725423029829,0.4797601174358839,BrainStem
Q5SYD0,Myo1d,61,57,5.111047812676495,4.823514642752458,0.9551645153826815,0.002250910078071365,0.4797601174358839,BrainStem
A8DUK4,Hbb-bs,10,6,4.363674665813063,3.9994064088147887,1.2100729569982172,0.003044805066084885,0.5728480302676151,BrainStem
A0A286YCI8,Sorbs1,18,35,5.141123120990957,4.852746123509673,0.9579676498523386,0.0033649481055875157,0.5728480302676151,BrainStem
Q9ESD7,Dysf,34,10,4.5815757093453,4.3324651578042905,0.8275273398969649,0.0030495110721199185,0.5728480302676151,BrainStem
Q6PFX8,Rimkla,8,4,4.821428650416777,4.217297310389953,2.0068808714370574,0.004186062931595104,0.6201743234526225,BrainStem
Q9D967,Mdp1,3,5,4.903631328737174,4.681961107902931,0.7363725343891575,0.00463522708894897,0.6721079278976007,BrainStem
Q810U4,Nrcam,4,9,4.972875755577974,4.623771764850744,1.159698354834081,0.005871237179022701,0.7845584583341119,BrainStem
Q8R1B0,Stac2,10,7,4.620608181818956,4.3332585998018764,0.9545546495566775,0.006522429685140505,0.8226581739064468,BrainStem
P21107,Tpm3,13,13,5.44365044529623,4.768250727220131,2.243629298755996,0.006952485381597485,0.8460926406354796,BrainStem
B7ZNA4,Abca7,8,8,4.699068517117505,4.379480740396899,1.0616476142707685,0.007400663858588177,0.8695780033841108,BrainStem
Q3V0K9,Pls1,33,27,5.020273361953705,4.694873277474168,1.080955682711293,0.007745827028818469,0.8755298742151588,BrainStem
B2RY04,Dock5,38,19,4.607023219968397,4.36453948424446,0.8055135342545883,0.008053326308855654,0.8755298742151588,BrainStem
Q8R238,Sdsl,8,9,4.736633866390753,4.3734228560154085,1.2065608597382829,0.008635119686140965,0.8978424022563473,BrainStem
Q3U7R1,Esyt1,26,20,4.847988238089983,4.57532218516913,0.9057770217198278,0.008695172200868514,0.8978424022563473,BrainStem
E9Q411,Nbas,39,37,4.601038555636164,4.445268828717752,0.5174558321832049,0.009475795556332607,0.94966980465304,BrainStem
Q6ZQ58,Larp1,28,37,4.777015554449288,4.531946040933524,0.814103302148395,0.00964672140679936,0.9527884983672121,BrainStem
A0A286YDY4,Epb41l3,4,6,5.650765499172469,4.487734983693055,3.863503744582399,0.03846939152562177,0.9998086312902736,BrainStem
Q711T7,Nadsyn1,3,5,5.2100968609670835,4.271294782745716,3.118632999182202,0.18929872007035664,0.9998086312902736,BrainStem
Q91ZZ3,Sncb,6,13,5.876003309934088,5.0377819045678205,2.7845112362221727,0.06646590330716334,0.9998086312902736,BrainStem
Q64523,H2ac20,7,4,5.136095966344678,4.3499442077686306,2.6115396136588793,0.1286298289276005,0.9998086312902736,BrainStem
Q8K3E5,Ahi1,3,37,5.174728194667113,4.443514492671789,2.4290393400248607,0.06238051418392209,0.9998086312902736,BrainStem
P45377,Akr1b8,7,3,4.987516783748395,4.298333671440672,2.2894167432969375,0.0684558601034986,0.9998086312902736,BrainStem
Q03141,Mark3,14,4,4.703966495484954,4.026931648342419,2.2490610799405566,0.03151999646158787,0.9998086312902736,BrainStem
Q9CR30,Josd2,3,4,5.046156731921901,4.383495923573078,2.2013115566347228,0.0806264834382077,0.9998086312902736,BrainStem
Q6PHZ2,Camk2d,7,4,5.152070709160166,4.493069677559695,2.1891540414333606,0.01635855508167168,0.9998086312902736,BrainStem
D3Z649,Kcnt2,3,9,5.144316668071239,4.495210424866735,2.1562842658678316,0.5184592249994672,0.9998086312902736,BrainStem
V9GX91,Nav2,7,3,4.749811526025536,4.122882479800798,2.082613212154896,0.1991318450859055,0.9998086312902736,BrainStem
P02089,Hbb-b2,5,6,5.857894244211167,5.233438909721947,2.0743957196420237,0.3145089116587412,0.9998086312902736,BrainStem
P68033,Actc1,3,12,5.086413483873059,4.4736587649245925,2.0355271161497215,0.2650604914975031,0.9998086312902736,BrainStem
P32883,Kras,7,7,5.3117373350750645,4.717803056320088,1.9730069671128183,0.040628158318035616,0.9998086312902736,BrainStem
Q61263,Soat1,3,3,5.254324202703976,4.664772363167404,1.9584488191490643,0.2148126303317824,0.9998086312902736,BrainStem
Q91VB8,Hba-a1,9,13,6.141034776527575,5.557677424377356,1.937871177466912,0.15647754262664157,0.9998086312902736,BrainStem
Q6NZQ4,Paxip1,3,6,4.641154110285244,4.059260774158668,1.9330078215066093,0.47740981193257,0.9998086312902736,BrainStem
O70274,Ptp4a2,5,5,5.01370590794281,4.433442063705071,1.9275947666206887,0.051910549084961906,0.9998086312902736,BrainStem
A8DUQ1,Hbbt1,12,17,5.706885708824581,5.135139855734625,1.899298612514867,0.117702093308712,0.9998086312902736,BrainStem
Q61029,Tmpo,3,3,5.060066534210313,4.490127892065008,1.8932951877044446,0.2015450444356642,0.9998086312902736,BrainStem
P63044,Vamp2,3,5,5.647092315800391,5.09366218229313,1.8384551090550336,0.20726969563491968,0.9998086312902736,BrainStem
Q642K0,Myl6,4,8,5.9986949076886376,5.450959633677587,1.8195371952981365,0.10454194573778906,0.9998086312902736,BrainStem
Q3U0V2,Tradd,4,3,4.665037304273655,4.126352879855604,1.789470923752551,0.07147188294826372,0.9998086312902736,BrainStem
Q78IK2,Atp5mk,5,6,5.230971369112588,4.695344263428387,1.779314730755549,0.3093396051349278,0.9998086312902736,BrainStem
P06880,Gh1,7,8,5.245813378841929,4.723799832861744,1.734091464303355,0.023813523246096643,0.9998086312902736,BrainStem
Q69ZS6,Sv2c,8,8,5.176605633534768,4.654911336661275,1.7330309417265646,0.0976798847472144,0.9998086312902736,BrainStem
F8WIS9,Camk2a,16,4,5.115271687996216,4.602157968576192,1.7045268804135307,0.03477689448978159,0.9998086312902736,BrainStem
Q921C1,Gjc3,9,11,4.963381733607816,4.451608502778798,1.7000738737021899,0.03997727945703055,0.9998086312902736,BrainStem
E9Q557,Dsp,3,12,4.717214739127285,4.207130095343521,1.694464508955898,0.2586453751292234,0.9998086312902736,BrainStem
P61620,Sec61a1,4,6,5.044801053597238,4.5425709392380345,1.6683723269883322,0.15605207425778272,0.9998086312902736,BrainStem
A0A1D5RLW4,Myo9b,10,3,4.485404664940454,3.983359934757018,1.6677564940865002,0.2855201622635471,0.9998086312902736,BrainStem
Q62000,Ogn,5,3,4.5149877437015125,4.015117893969108,1.6605316976131994,0.2458399379124641,0.9998086312902736,BrainStem
A0A5F8MQ17,Aqp4,12,9,4.988014497544648,4.49354301888658,1.642598697074732,0.030966297502237262,0.9998086312902736,BrainStem
Q9QZA0,Ca5b,6,3,4.664265280361732,4.170743140676753,1.639445061268459,0.2339749469953,0.9998086312902736,BrainStem
P63260,Actg1,25,34,5.427367712042133,4.935758164247996,1.633091568532214,0.048103604303357334,0.9998086312902736,BrainStem
Q9ET54,Palld,3,5,5.085011773677724,4.608770474129085,1.5820393529162924,0.49992390217061405,0.9998086312902736,BrainStem
P26350,Ptma,6,7,5.513154347975676,5.03960226494622,1.5731059690079825,0.18303994737687654,0.9998086312902736,BrainStem
Q9EQX4,Aif1l,6,5,5.0280596056089735,4.557527403416671,1.5630741420118301,0.10627574868983465,0.9998086312902736,BrainStem
P84078,Arf1,3,6,5.648163041657547,5.178082211632293,1.5615747161288625,0.560913012010591,0.9998086312902736,BrainStem
Q8BLK3,Lsamp,8,8,5.507574548711791,5.037610804208526,1.5611857664438598,0.06615845999106633,0.9998086312902736,BrainStem
Q9CY16,Mrps28,3,5,5.152417559337639,4.68621170849522,1.5487023139142992,0.10654829441296833,0.9998086312902736,BrainStem
P08551,Nefl,40,36,5.541902799957907,5.081719007644626,1.5286974684973005,0.019538737300208598,0.9998086312902736,BrainStem
