label,ontology,Description,p.adjust,gene_ratio_n,Count
Up in Male,BP,NA,NA,NA,NA
Up in Male,MF,ATP-dependent activity,0.020338102879245642,0.08695652173913043,34
Up in Male,CC,NA,NA,NA,NA
Up in Female,BP,regulation of cellular component size,0.0298472613259786,0.08150470219435736,26
Up in Female,MF,protein domain specific binding,0.025297617021316117,0.11987381703470032,38
Up in Female,CC,supramolecular fiber,0.0034592936431303376,0.12923076923076923,42
Up in Female,CC,supramolecular polymer,0.0034592936431303376,0.12923076923076923,42
Up in Female,CC,cell body,0.0034592936431303376,0.13230769230769232,43
Up in Female,CC,glutamatergic synapse,0.0034592936431303376,0.13846153846153847,45
Up in Female,CC,postsynaptic specialization,0.004293087339534912,0.09538461538461539,31
