protein_id,gene,log2FC_Cer,p_Cer,adj_p_Cer,log2FC_BS,p_BS,adj_p_BS,sig_in_either,concordant,class
Q9Z1S5,Septin3,-2.5547430675904916,3.082419154725907e-4,0.13202238348856807,-2.568586256716185,4.534817674485099e-4,0.3093879358417459,TRUE,TRUE,Shared - Up in Female
P42932,Cct8,-3.15380340340447,2.6748373977566744e-9,1.460259344280091e-5,-2.815168093927046,0.0013321491193631816,0.7270869893484244,TRUE,TRUE,Shared - Up in Female
Q8R001,Mapre2,2.258434586091337,0.004379013801132407,0.8407706498174221,2.475164928034352,0.0021887883127832,0.9955338842642254,TRUE,TRUE,Shared - Up in Male
A0A0R4J0I1,Serpina3k,1.6203225979232565,8.538891048878187e-4,0.23772272680076872,1.3134379746185458,0.024304581595583435,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
O08788,Dctn1,1.4965233771007989,0.01235676025193807,0.9998429551679517,1.6509854831902178,0.014471397228785113,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
P80313,Cct7,1.0808610350688492,0.025998216962239175,0.9998429551679517,1.317929829999079,0.006999982860706682,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
P31648,Slc6a1,3.428006193175786,0.006856846502425486,0.9998429551679517,2.7443789238814893,0.02894914816938372,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q8BVG4,Dpp9,0.8444530298804385,0.012695139427553827,0.9998429551679517,0.7593726928848629,0.026755626343818492,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q5DTY9,Kctd16,-1.3380191307926383,0.017312452802864736,0.9998429551679517,-1.1028541073297473,0.03831382123615981,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
A0A1L1ST22,Clasp2,1.1510022054470255,0.059958372512974145,0.9998429551679517,2.541034354941066,0.0036960569699388108,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
P97765,Wbp2,2.270360026353841,0.030002687949150647,0.9998429551679517,2.360372941705981,0.04745355176895526,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q9D7G0,Prps1,1.8677610835311926,0.025816086718694193,0.9998429551679517,1.4395855346348396,0.054888802593869426,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q9ESM3,Hapln2,1.703801005943422,0.07769506389903844,0.9998429551679517,2.7080237416989164,0.0042668790931441386,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q9EQF6,Dpysl5,1.2670006909385552,0.0448324560080211,0.9998429551679517,1.280649564288735,0.039913348699961354,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q69ZU6,Thsd7a,-0.5652146874865146,0.04655199464794052,0.9998429551679517,-0.7633335133330273,0.040349680833199085,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
Q61200,Nxph1,0.4621740693262246,0.006907256185310264,0.9998429551679517,1.1040375165805132,0.0933524485647536,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
E9PYG6,Rasa1,0.9095847346364258,0.043471638447598035,0.9998429551679517,0.8030024164161206,0.058528410744717915,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q9D2I5,Armc9,0.8769695204599705,9.599992082701898e-4,0.2516121901958411,0.7562671344855499,0.10180106609199496,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q4LDD4,Arap1,1.0129707980298366,0.010844398315083143,0.9998429551679517,0.7354102592209875,0.09412486012507629,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q8BTI8,Srrm2,-0.5673709772006108,0.06725045484443273,0.9998429551679517,-0.6724834367550598,0.03825663348639404,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
Q8CGC6,Rbm28,-0.8791606158700193,0.039086498728651074,0.9998429551679517,-2.066076633941471,0.07076708170913751,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
Q9CRC8,Lrrc40,0.6486097852879531,0.0887605272709628,0.9998429551679517,0.9352491378295422,0.02524491527824755,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q64337,Sqstm1,-1.641864899604936,0.04175611265322431,0.9998429551679517,-1.3975845499680524,0.07229790145475981,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
P62196,Psmc5,0.776841280509141,0.07898170222621684,0.9998429551679517,0.9299668103909653,0.03547350964374049,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q6NXX6,Atp6v0a1,3.670428320076989,1.366149078736266e-8,2.53557269013451e-5,0.9830865896252972,0.12564509212899472,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
P07310,Ckm,0.922855832067649,0.0908898156263345,0.9998429551679517,1.0870428888151327,0.0378290527554722,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q8BYN5,Fsd1l,0.849411133502648,0.03075223090002212,0.9998429551679517,0.6378201013319674,0.11263156704525386,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
O89032,Sh3pxd2a,-0.7930535770216128,0.036763310015512675,0.9998429551679517,-0.6668820095646918,0.11482566834477849,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
P10637,Mapt,-2.1721180677394787,3.6445165904467106e-4,0.13528445583738188,-0.5278250219072387,0.16385690532475067,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
Q68FD5,Cltc,0.6780427312589851,0.132211919061638,0.9998429551679517,0.8376476251725481,0.04473816764131716,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q3UHD3,Mtus2,-0.9440246818999912,0.03218259835684437,0.9998429551679517,-0.6446486339978073,0.14780246236502897,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
Q9CZ62,Cep97,0.5586590293081616,0.16521021179325945,0.9998429551679517,0.7423604208967137,0.02005588755723823,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
Q8CD92,Ttc27,-0.766410814389389,0.20319859553403868,0.9998429551679517,-1.578523036309774,0.015172682217100584,0.9998479593710528,TRUE,TRUE,Shared - Up in Female
Q9DCV4,Rmdn1,0.6306450831693676,0.1902249334292044,0.9998429551679517,1.039892500036024,0.032047885646854485,0.9998479593710528,TRUE,TRUE,Shared - Up in Male
P62631,Eef1a2,0.9396068485473558,0.23375571725413027,0.9998429551679517,2.3482934610281854,0.0021084564140072064,0.9955338842642254,TRUE,TRUE,Shared - Up in Male
