protein_id,gene,log2FC_Cer,p_Cer,log2FC_BS,p_BS,sig_in_either,concordant,class
D0VYV6,Epb41l3,1.1851873437535498,0.1271203372038697,-1.0536759597151617,0.26423629897065715,FALSE,FALSE,n.s.
Q80WJ7,Mtdh,-0.6167861934051668,0.13994903358286237,-0.33139071007759024,0.2807987600787278,FALSE,FALSE,n.s.
P62071,Rras2,-0.6812716570067255,0.1445546834915094,-0.6296589031870845,0.3003223763512948,FALSE,FALSE,n.s.
A0A0U1RPW2,Tjp1,0.20964947218182764,0.31974056277836915,-1.0780710617299636,0.1511678745289893,FALSE,FALSE,n.s.
P14873,Map1b,-0.6264494912743556,0.24444196773724217,-0.5528599394502424,0.2953992516973773,FALSE,FALSE,n.s.
O88737,Bsn,-1.1596440981228329,0.5266778105354767,0.386514847397454,0.09728738459323692,FALSE,FALSE,n.s.
Q8K070,Samd14,-0.23489282260426805,0.5549691810480155,0.5278277848547481,0.08553288475214063,FALSE,FALSE,n.s.
Q91XV3,Basp1,1.4024146498496082,0.5901428033535263,-1.0328347418198844,0.06595972009177865,FALSE,FALSE,n.s.
Q99P72,Rtn4,-0.5777750471310404,0.5032510521582261,-0.8602422628586438,0.2105917579573127,FALSE,FALSE,n.s.
Q91XM9,Dlg2,-1.2308307552159883,0.20932705705537824,-0.365006928214782,0.6335077674466678,FALSE,FALSE,n.s.
Q811P8,Arhgap32,-0.9291250000175506,0.15250594706370857,-0.26432939812165435,0.6986621149797307,FALSE,FALSE,n.s.
Q8CJ19,Mical3,-0.2634564973632137,0.3567922154473145,-0.1890420150088509,0.5366587367951126,FALSE,FALSE,n.s.
P19246,Nefh,-0.4503228987354893,0.11561210040090054,-0.06774875167486326,0.8296462744316306,FALSE,FALSE,n.s.
Q8VD37,Sgip1,1.9336221040664758,0.27944207441354174,0.5843694672582069,0.722222522059947,FALSE,FALSE,n.s.
Q5XJV6,Lmtk3,0.6140573694978855,0.2752840631432532,-0.1180869225146499,0.7430039880839372,FALSE,FALSE,n.s.
Q6PER3,Mapre3,0.8761456065202494,0.4842480934475166,0.5079104603515809,0.5629114879680578,FALSE,FALSE,n.s.
P43276,H1-5,-0.33289481132448007,0.7427326337115938,1.4839993321642462,0.33548780058268557,FALSE,FALSE,n.s.
P54227,Stmn1,-0.9946028604464098,0.37716553081678156,0.47878309923972134,0.7190914833491032,FALSE,FALSE,n.s.
P17182,Eno1,-0.6652134457987675,0.5721036343432486,0.68291968440187,0.5570130858485521,FALSE,FALSE,n.s.
Q9ES28,Arhgef7,-1.037981264545915,0.35887254177452815,0.15541261236349022,0.7838359106630602,FALSE,FALSE,n.s.
P16014,Chgb,-1.127535953698131,0.5867889096831402,0.2655441285181876,0.5580964812963914,FALSE,FALSE,n.s.
P20357,Map2,0.2965334612906539,0.6302507766065382,-0.33615644165829844,0.5861114561931546,FALSE,FALSE,n.s.
Q9QYX7,Pclo,-0.2189215277427169,0.7256124846785266,-0.8310325683183638,0.49103305021730226,FALSE,FALSE,n.s.
Q9ESN6,Trim2,-0.9892276338149519,0.500965494761775,-0.3961272439170542,0.7191287481064468,FALSE,FALSE,n.s.
Q6P9K8,Caskin1,1.1132895430271785,0.305209393442805,-0.07328397017793509,0.9218756128051638,FALSE,FALSE,n.s.
Q8BTI8,Srrm2,-0.4192447237534129,0.2813214618492467,-0.026632209781281124,0.9461853394462341,FALSE,FALSE,n.s.
Q69ZH9,Arhgap23,0.046480691675473626,0.9245367653851975,0.40676634530261785,0.3168258161223406,FALSE,FALSE,n.s.
A0AAQ4VMY7,Dpysl2,0.48256933532589963,0.7649390823392435,-1.2148866828052445,0.48196090557972354,FALSE,FALSE,n.s.
P35802,Gpm6a,-0.6841886604335886,0.54903206732693,-0.5583237928239965,0.7096683645554682,FALSE,FALSE,n.s.
P06837,Gap43,-0.6311034989621852,0.6425592811257894,0.7281562535961369,0.6302807540055498,FALSE,FALSE,n.s.
Q9Z0R4,Itsn1,-0.6652271655387734,0.4210551659283186,0.2669885421356102,0.8542272244286767,FALSE,FALSE,n.s.
E9Q3M9,Cracdl,-1.1412437497414218,0.31183842909438764,0.01351854688961435,0.9855116712623082,FALSE,FALSE,n.s.
A0A0G2JDN7,Map4,-0.3925004198921385,0.6815430875382325,-0.36476712152587215,0.663537410777649,FALSE,FALSE,n.s.
Q9QXZ0,Macf1,0.3064221526887607,0.7000947901796388,-0.5540894776385806,0.6620116873408182,FALSE,FALSE,n.s.
O70166,Stmn3,0.47748910536214223,0.40617046457426587,0.007119020173315676,0.9786687122181922,FALSE,FALSE,n.s.
P70399,Tp53bp1,-0.015168176572780757,0.9822438695246889,0.6047249516751296,0.42094864865563164,FALSE,FALSE,n.s.
Q9Z0U1,Tjp2,0.5687745352694908,0.5652897487009895,0.3001715717832565,0.8575696272812269,FALSE,FALSE,n.s.
Q62261,Sptbn1,-0.24402644356959377,0.8163894235137271,-0.36781342535476297,0.6133136829727142,FALSE,FALSE,n.s.
A2AJI0,Map7d1,-0.2220930334372274,0.8360803554117844,-0.4494742443830408,0.6093515552017289,FALSE,FALSE,n.s.
Q9ESN9,Mapk8ip3,-1.1588412520266091,0.5232923791602436,-0.08875068830771118,0.9552350753279617,FALSE,FALSE,n.s.
Q9QYB8,Add2,0.05710407317081483,0.9251884409728974,0.31655205890585797,0.571156938262279,FALSE,FALSE,n.s.
B2RW11,Ankrd34a,-1.005805321356031,0.5604071894556517,0.04890098602412225,0.9500935015260632,FALSE,FALSE,n.s.
Q9QYR6,Map1a,-0.23853209178245882,0.5716273098042167,0.012677167096913272,0.9766232482944224,FALSE,FALSE,n.s.
Q8BPN8,Dmxl2,0.04770941265950757,0.9814603614638044,0.9417244548263639,0.5772611084591908,FALSE,FALSE,n.s.
A2ALS5,Rap1gap,0.34147258270103875,0.8299639741883055,-0.5143722987726926,0.7373333213737963,FALSE,FALSE,n.s.
Q80U28,Madd,-0.42688070193805333,0.7433303653527148,0.2504789284675941,0.8257320887828059,FALSE,FALSE,n.s.
Q9CZ44,Nsfl1c,-0.6249904787731484,0.7577397073869367,0.38907146567253614,0.8292311174750542,FALSE,FALSE,n.s.
P26645,Marcks,-0.5400078906746468,0.6795978395757569,0.1469803577087297,0.9182586281194751,FALSE,FALSE,n.s.
P70663,Sparcl1,-0.3360064618318311,0.7755528658950422,0.24119536136193087,0.8288606421556888,FALSE,FALSE,n.s.
D3YXK2,Safb,-0.1813942182818078,0.8175885276058237,-0.1502000151549719,0.794997312894966,FALSE,FALSE,n.s.
Q8CH25,Sltm,-0.4699756819470657,0.7166425578763536,-0.05709704143569616,0.9043394912342761,FALSE,FALSE,n.s.
E9Q7S0,Synj1,0.2487998694597098,0.7949092774772933,0.059354726249308605,0.8748332966638406,FALSE,FALSE,n.s.
P10711,Tcea1,-0.6053067491419348,0.6967407746364505,0.01632706387259507,0.9894864615742984,FALSE,FALSE,n.s.
P51859,Hdgf,0.2118808641709593,0.8298226646978466,-0.19325577214725967,0.8632269769795033,FALSE,FALSE,n.s.
A2ALU4,Shroom2,0.09677297520465795,0.9198937959947675,0.22944358732100734,0.7991543617304515,FALSE,FALSE,n.s.
Q8K2P7,Slc38a1,0.20779054965530253,0.8822416615020323,0.15506465275571116,0.8691216084424911,FALSE,FALSE,n.s.
Q8K019,Bclaf1,-0.057936613203673784,0.9201749539308923,-0.1049808485977806,0.8492054540338974,FALSE,FALSE,n.s.
Q7TQD2,Tppp,-0.08287670994601624,0.9679528725552881,0.6233117497629611,0.8107742433837953,FALSE,FALSE,n.s.
Q6PDG5,Smarcc2,0.33785113637470116,0.8423623639805049,0.08339920340824895,0.9670734960406044,FALSE,FALSE,n.s.
Q9EPJ9,Arfgap1,-0.12392958600411239,0.9380097673804919,-0.14491348628168166,0.9110192898028016,FALSE,FALSE,n.s.
Q9QZQ1,Afdn,-0.009525865197095001,0.9909462992714151,0.12074899790732514,0.884552812224686,FALSE,FALSE,n.s.
Q68FH0,Pkp4,-0.050792012500748,0.9374334587415396,-0.08325111155205267,0.9393040977746386,FALSE,FALSE,n.s.
P13595,Ncam1,0.038508497746521264,0.9726518491313678,0.041930342491416646,0.974075588321696,FALSE,FALSE,n.s.
A0A0A6YW34,Pcdh7,0.22665297454054206,0.8343479618255127,-0.40101043426520555,NA,FALSE,FALSE,n.s.
A0A0R4J1T1,Sorbs2,-0.639056978385219,NA,0.1722879383907935,NA,NA,FALSE,n.s.
A0A1L1SQ51,Tln2,0.001214577102813154,NA,-0.08159220044418354,NA,NA,FALSE,n.s.
A0A411P8U6,Mbp,-4.6275300211541355,NA,-2.4449932298986417,0.5806617329248867,FALSE,FALSE,n.s.
A2A5R2,Arfgef2,0.5448387250041548,NA,-0.6135725304138611,NA,NA,FALSE,n.s.
A2AAE1,Bltp1,-0.833264957550516,NA,0.015325171740200339,NA,NA,FALSE,n.s.
A2AI08,Tprn,-0.7466626190843078,NA,0.04715511030221812,NA,NA,FALSE,n.s.
B1AY13,Usp24,1.3251709425226843,NA,0.1843715323341719,0.9227825226598392,FALSE,FALSE,n.s.
B2RUJ5,Apba1,-0.38632946857605144,NA,0.24249464846094504,NA,NA,FALSE,n.s.
B2RY56,Rbm25,-0.04904488751273687,NA,0.06851941733602115,NA,NA,FALSE,n.s.
B6ZHC5,Epb41l2,-2.023212777836173,NA,-0.35408115031880505,0.5496307168739367,FALSE,FALSE,n.s.
B9EHE8,R3hdm1,-0.2556198747595475,NA,0.03732350482314561,NA,NA,FALSE,n.s.
B9EJ80,Pdzd8,-0.4692674342385709,NA,-0.5694407653323209,0.6726194748541641,FALSE,FALSE,n.s.
D3YVF0,Akap5,-0.7338199253410278,0.22514419675784209,-0.34307615471457403,NA,FALSE,FALSE,n.s.
E9PUA3,Iqsec1,-0.650416486388659,NA,0.6758664086349482,NA,NA,FALSE,n.s.
E9QB02,Mars1,-0.06832635615026504,NA,0.048125348101247335,NA,NA,FALSE,n.s.
F2Z3U3,Raph1,0.5817283848646995,0.7251453402586776,0.40165018376845374,NA,FALSE,FALSE,n.s.
F8WHQ1,Tpd52,-0.08318061598813935,0.8584858082324458,0.3038815712401027,NA,FALSE,FALSE,n.s.
H3BJD0,Ppp1r9a,-0.5523677813234479,0.4725814235356944,0.5369786929197934,NA,FALSE,FALSE,n.s.
O08539,Bin1,0.1583085487384774,NA,-1.2839180998270934,NA,NA,FALSE,n.s.
O35136,Ncam2,0.4655406541860689,NA,-1.0682953778307245,NA,NA,FALSE,n.s.
O35927,Ctnnd2,0.7494738251416199,0.15539711232520503,0.20785187171617958,NA,FALSE,FALSE,n.s.
P0C7L0,Wipf3,0.13487396739411006,NA,-0.6790237802867429,NA,NA,FALSE,n.s.
P11499,Hsp90ab1,0.012427409675336745,NA,-0.050126055055192985,NA,NA,FALSE,n.s.
P16054,Prkce,-0.4955354701424006,0.43913599777590473,-1.5533957437504466,NA,FALSE,FALSE,n.s.
P17183,Eno2,-0.2649301421874906,0.5430902858570265,-0.30388601284768796,NA,FALSE,FALSE,n.s.
P26369,U2af2,0.05007833959483501,NA,-0.2552293396765916,NA,NA,FALSE,n.s.
P28028,Braf,-0.8814067421588567,NA,0.029577175492289828,NA,NA,FALSE,n.s.
P28667,Marcksl1,0.65821515949028,0.18998978943686196,-0.3497417763701577,NA,FALSE,FALSE,n.s.
P43006,Slc1a2,-0.47538777481602573,NA,0.1384293164295183,NA,NA,FALSE,n.s.
P46460,Nsf,-0.6156226642367656,NA,0.183555211122396,NA,NA,FALSE,n.s.
P49312,Hnrnpa1,3.013318702182679,NA,-0.40784995884484265,NA,NA,FALSE,n.s.
P59808,Sash1,-0.48749379613486654,NA,0.1529861347919644,NA,NA,FALSE,n.s.
P63141,Kcna2,-1.0990571774462887,NA,0.5048765372491428,0.5643070440415991,FALSE,FALSE,n.s.
P70392,Rasgrf2,-1.3652936710739358,NA,0.24563891786585274,NA,NA,FALSE,n.s.
P70429,Evl,-0.11486894208729333,NA,0.3998481902300071,NA,NA,FALSE,n.s.
P83510,Tnik,-0.26137747885102874,0.9288393492558605,0.3191893029839459,NA,FALSE,FALSE,n.s.
